Name,Matches,Siege,Niederlagen,Legs_Gew,Legs_Verl,AVG
Niklas Weichert,5,3,2,13,8,46.38
Lars Neutag,10,8,2,26,8,49.50
Michael Müller,,,,,,
Markus Ginsel,,,,,,
Andreas Denner,,,,,,
Florian Hartwich,,,,,,
Dominik Helmke,,,,,,
Jürgen Schützendorf,5,3,2,11,7,42.25
Markus Lenz,,,,,,
Ludger Schledorn,,,,,,
